Teks,Label Asli,Prediksi,Confidence,Status
Aplikasi ini sangat membantu dan mudah digunakan,Positif,Positif,0.9897,✓
"Pelayanan sangat cepat dan ramah, saya puas sekali",Positif,Positif,0.9972,✓
Fitur survei online ini sangat memudahkan saya men,Positif,Positif,0.8047,✓
Tampilan website rapi dan enak dilihat,Positif,Positif,0.9958,✓
"Terima kasih, sistemnya sangat membantu pekerjaan ",Positif,Positif,0.972,✓
Saya sangat senang dengan kemudahan akses yang dib,Positif,Positif,0.9895,✓
Proses pengisian survei sangat singkat dan tidak m,Positif,Positif,0.9879,✓
Pelayanan publik di sini sudah jauh lebih baik dar,Positif,Netral,0.6394,✗
Petugasnya sangat sopan dan membantu menjelaskan d,Positif,Positif,0.9842,✓
Website ini responsif dan cepat diakses dari hp,Positif,Positif,0.9783,✓
Sangat puas dengan kemudahan dan kelengkapan fitur,Positif,Positif,0.9923,✓
Saya merasa keluhan saya benar-benar didengar dan ,Positif,Netral,0.9763,✗
Pelayanan sangat buruk dan lambat,Negatif,Negatif,0.998,✓
Website sering error saat saya coba isi survei,Negatif,Negatif,0.9805,✓
Saya kecewa karena tidak ada tindak lanjut dari ke,Negatif,Negatif,0.9971,✓
Loading aplikasi sangat lama dan menyebalkan,Negatif,Negatif,0.998,✓
Petugas kurang ramah dan terkesan tidak peduli,Negatif,Negatif,0.997,✓
Sistem ini banyak bug dan sering gagal menyimpan j,Negatif,Negatif,0.9946,✓
Saya sangat tidak puas dengan respon yang lambat,Negatif,Negatif,0.997,✓
Tampilan website membingungkan dan tidak user frie,Negatif,Negatif,0.9973,✓
Proses pelayanan terlalu berbelit dan menyita bany,Negatif,Negatif,0.9973,✓
Banyak pertanyaan yang tidak relevan dan membuat b,Negatif,Negatif,0.9964,✓
Saya pernah komplain tapi tidak ada balasan sama s,Negatif,Negatif,0.8879,✓
"Sangat mengecewakan, fitur yang dijanjikan tidak b",Negatif,Negatif,0.9979,✓
Cukup baik tapi masih ada yang perlu diperbaiki,Netral,Netral,0.7272,✓
"Aplikasinya standar saja, tidak ada yang istimewa",Netral,Negatif,0.9878,✗
"Pelayanan biasa saja, sesuai dengan yang diharapka",Netral,Negatif,0.997,✗
"Tidak ada keluhan khusus, semuanya berjalan normal",Netral,Netral,0.5063,✓
"Survei ini lumayan, walau ada beberapa pertanyaan ",Netral,Netral,0.9136,✓
Saya rasa pelayanannya sudah cukup memadai untuk s,Netral,Positif,0.9874,✗
Tidak terlalu bagus tapi juga tidak buruk,Netral,Positif,0.9905,✗
Sistemnya cukup mudah dipahami meski ada bagian ya,Netral,Netral,0.684,✓
Saya belum bisa menilai karena baru pertama kali m,Netral,Netral,0.6178,✓
Secara umum sudah sesuai harapan saya,Netral,Positif,0.854,✗
Website ini biasa saja seperti aplikasi sejenis la,Netral,Negatif,0.9962,✗
"Pelayanannya standar, tidak ada yang menonjol",Netral,Negatif,0.9287,✗
"Awalnya saya kira sulit, tapi ternyata cukup mudah",Positif,Positif,0.8201,✓
Fiturnya lengkap walaupun tampilannya kurang menar,Netral,Netral,0.7252,✓
Responnya cepat tapi solusinya belum menyelesaikan,Negatif,Negatif,0.9776,✓
Survei ini membantu menyampaikan pendapat saya den,Positif,Positif,0.818,✓
